siren,siret,dateCreationEtablissement,trancheEffectifsEtablissement,denominationUniteLegale,nomenclatureActivitePrincipaleUniteLegale,numeroVoieEtablissement,indiceRepetitionEtablissement,typeVoieEtablissement,libelleVoieEtablissement,codePostalEtablissement,libelleCommuneEtablissement,enseigne1Etablissement,activitePrincipaleEtablissement,adresse,nom,location,point,latitude,longitude,altitude
352948434,35294843400050,2003-07-01,32,ARAYMOND FRANCE,NAFRev2,123,,RUE,HILAIRE DE CHARDONNET,38100,GRENOBLE,ARAYMOND FRANCE,25.99B,"Araymond France, 123  Rue Hilaire De Chardonnet, 38100 Grenoble",Araymond Grenoble,"Zone d’activité de Technisud, 123 Hilaire de Chardonnet, 38100 Grenoble, France","(45.1605581, 5.7038275, 0.0)",45.1605581,5.7038275,0.0
421106709,42110670900536,2005-04-01,32,SCHNEIDER ELECTRIC FRANCE,NAFRev2,nan,,AV,DES JEUX OLYMPIQUES,38100,GRENOBLE,,27.12Z,"Schneider Electric France,  Av Des Jeux Olympiques, 38100 Grenoble",Schneider Electric Grenoble,"549 Avenue des Jeux Olympiques, 38100 Grenoble, France","(45.174506, 5.7471424, 0.0)",45.174506,5.7471424,0.0
421454059,42145405900047,2001-11-26,32,MINITUBES,NAFRev2,21,,RUE,JEAN VAUJANY,38100,GRENOBLE,,24.20Z,"Minitubes, 21  Rue Jean Vaujany, 38100 Grenoble",Minitubes Grenoble,"21 Rue Jean Vaujany, 38100 Grenoble, France","(45.160442, 5.705912, 0.0)",45.160442,5.705912,0.0
824652341,82465234100028,2017-04-25,32,ARAYMOND FLUID CONNECTION FRANCE,NAFRev2,123,,RUE,HILAIRE DE CHARDONNET,38100,GRENOBLE,,29.32Z,"Araymond Fluid Connection France, 123  Rue Hilaire De Chardonnet, 38100 Grenoble",Araymond Fluid Connection Grenoble,"Zone d’activité de Technisud, 123 Hilaire de Chardonnet, 38100 Grenoble, France","(45.1605581, 5.7038275, 0.0)",45.1605581,5.7038275,0.0
808420269,80842026900017,2014-12-16,32,TECUMSEH CESSIEU,NAFRev2,42,,RUE,DE LA GARE,38110,CESSIEU,,28.13Z,"Tecumseh Cessieu, 42  Rue De La Gare, 38110 Cessieu",Tecumseh Cessieu,"42 Rue de la Gare, 38110 Cessieu, France","(45.5592155, 5.3792257, 0.0)",45.5592155,5.3792257,0.0
334835709,33483570900034,1986-09-01,41,LYNRED,NAFRev2,nan,,RTE,VALENCE,38113,VEUREY-VOROIZE,,26.11Z,"Lynred,  Rte Valence, 38113 Veurey-Voroize",Lynred Veurey-Voroize,"364 Avenue de Valence, 38113 Veurey-Voroize, France","(45.26181, 5.6247032, 0.0)",45.26181,5.6247032,0.0
341470656,34147065600099,1991-01-01,32,TELEDYNE E2V SEMICONDUCTORS SAS,NAFRev2,nan,,RUE,DE ROCHEPLEINE,38120,SAINT-EGREVE,,26.11Z,"Teledyne E2V Semiconductors Sas,  Rue De Rochepleine, 38120 Saint-Egreve",Teledyne E2V Semiconductors Sas Saint-Egreve,"4 Rue de Rochepleine, 38120 Saint-Egrève, France","(45.2438709, 5.6818617, 0.0)",45.2438709,5.6818617,0.0
352948434,35294843400035,1991-01-03,32,ARAYMOND FRANCE,NAFRev2,1,,RUE,LOUIS BESANCON,38120,SAINT-EGREVE,,25.99B,"Araymond France, 1  Rue Louis Besancon, 38120 Saint-Egreve",Araymond Saint-Egreve,"1 Rue Louis Besançon, 38120 Saint-Egrève, France","(45.2419627, 5.661446, 0.0)",45.2419627,5.661446,0.0
421106709,42110670900288,2005-03-31,32,SCHNEIDER ELECTRIC FRANCE,NAFRev2,nan,,,LA VERRERIE,38120,FONTANIL-CORNILLON,,27.12Z,"Schneider Electric France,   La Verrerie, 38120 Fontanil-Cornillon",Schneider Electric Fontanil-Cornillon,"57 Rue de la Verrerie, 38120 Fontanil-Cornillon, France","(45.2473739, 5.656977599999999, 0.0)",45.2473739,5.656977599999999,0.0
61500245,6150024500024,1990-01-01,41,CATERPILLAR FRANCE SAS,NAFRev2,2,,RUE,PIERRE SEMARD,38130,ECHIROLLES,,28.92Z,"Caterpillar France Sas, 2  Rue Pierre Semard, 38130 Echirolles",Caterpillar Sas Echirolles,"Avenue Auguste Ferrier, 38130 Échirolles, France","(45.1456466, 5.708177, 0.0)",45.1456466,5.708177,0.0
384711909,38471190900034,1998-06-05,42,SOITEC,NAFRev2,nan,,CHE,DES FRANQUES,38190,BERNIN,,26.11Z,"Soitec,  Che Des Franques, 38190 Bernin",Soitec Bernin,"922, Parc technologique des Fontaines, Chemin des Franques, 38190 Bernin, France","(45.264005, 5.877707, 0.0)",45.264005,5.877707,0.0
440767549,44076754900056,2002-07-01,32,YOPLAIT FRANCE,NAFRev2,nan,,CHE,DES MINES,38200,VIENNE,,10.51A,"Yoplait France,  Che Des Mines, 38200 Vienne",Yoplait Vienne,"Chemin des Mines, 38200 Vienne, France","(45.5429485, 4.8558407, 0.0)",45.5429485,4.8558407,0.0
955508817,95550881700033,1900-01-01,32,ETABLISSEMENTS GINDRE DUCHAVANY,NAFRev2,31,,RUE,GIFFARD,38230,PONT-DE-CHERUY,,24.44Z,"Etablissements Gindre Duchavany, 31  Rue Giffard, 38230 Pont-De-Cheruy",Etablissements Gindre Duchavany Pont-De-Cheruy,"31 Rue Giffard, 38230 Pont-de-Chéruy, France","(45.7535865, 5.1817493, 0.0)",45.7535865,5.1817493,0.0
421106709,42110670900460,2005-04-01,41,SCHNEIDER ELECTRIC FRANCE,NAFRev2,2,,CHE,DES SOURCES,38240,MEYLAN,,27.12Z,"Schneider Electric France, 2  Che Des Sources, 38240 Meylan",Schneider Electric Meylan,"2 Chemin des Sources, 38240 Meylan, France","(45.2070789, 5.7708001, 0.0)",45.2070789,5.7708001,0.0
433681525,43368152500021,2003-01-14,32,ROLLS-ROYCE CIVIL NUCLEAR SAS,NAFRev2,23,,CHE,DU VIEUX CHENE,38240,MEYLAN,,26.11Z,"Rolls-Royce Civil Nuclear Sas, 23  Che Du Vieux Chene, 38240 Meylan",Rolls-Royce Civil Nuclear Sas Meylan,"23 Chemin du Vieux Chêne, 38240 Meylan, France","(45.2069567, 5.7905539, 0.0)",45.2069567,5.7905539,0.0
388056962,38805696200029,1992-10-01,32,NEMERA LA VERPILLIERE,NAFRev2,20,,AV,DE LA GARE,38290,LA VERPILLIERE,,22.29A,"Nemera La Verpilliere, 20  Av De La Gare, 38290 La Verpilliere",Nemera La Verpilliere,"20 Avenue de la Gare, 38290 La Verpillière, France","(45.62778369999999, 5.1473179, 0.0)",45.62778369999999,5.1473179,0.0
314925744,31492574400018,1979-01-01,32,PORCHER TISSAGES,NAFRev2,75,,RTE,DEPARTEMENTALE 1085,38300,ECLOSE-BADINIERES,,13.20Z,"Porcher Tissages, 75  Rte Departementale 1085, 38300 Eclose-Badinieres",Porcher Tissages Eclose-Badinieres,"75 Route Nationale 85, 38300 Eclose-Badinières, France","(45.5002046, 5.3014853, 0.0)",45.5002046,5.3014853,0.0
407634542,40763454200010,1996-12-31,32,PATHEON FRANCE,NAFRev2,40,,BD,DE CHAMPARET,38300,BOURGOIN-JALLIEU,,21.20Z,"Patheon France, 40  Bd De Champaret, 38300 Bourgoin-Jallieu",Patheon Bourgoin-Jallieu,"40 Boulevard de Champaret, 38300 Bourgoin-Jallieu, France","(45.586971, 5.293845, 0.0)",45.586971,5.293845,0.0
513281972,51328197200069,2012-03-01,32,EDF ENR PWT,NAFRev2,33,,RUE,SAINT HONORE,38300,BOURGOIN-JALLIEU,,26.11Z,"Edf Enr Pwt, 33  Rue Saint Honore, 38300 Bourgoin-Jallieu",Edf Enr Pwt Bourgoin-Jallieu,"33 Rue Saint-Honoré, 38300 Bourgoin-Jallieu, France","(45.607521, 5.261609, 0.0)",45.607521,5.261609,0.0
419553532,41955353200070,1998-12-31,32,HEWLETT-PACKARD CENTRE DE COMPETENCES FRANCE,NAFRev2,5,,AV,RAYMOND CHANAS,38320,EYBENS,,26.20Z,"Hewlett-Packard Centre De Competences France, 5  Av Raymond Chanas, 38320 Eybens",Hewlett-Packard Centre De Competences Eybens,"5 Avenue Raymond Chanas Eybens, 38320 Grenoble, France","(45.1557827, 5.7391907, 0.0)",45.1557827,5.7391907,0.0
954503439,95450343901669,2005-09-01,42,SCHNEIDER ELECTRIC INDUSTRIES SAS,NAFRev2,31,,RUE,MENDES FRANCE,38320,EYBENS,,27.12Z,"Schneider Electric Industries Sas, 31  Rue Mendes France, 38320 Eybens",Schneider Electric Industries Sas Eybens,"31 Rue Pierre Mendès France, 38320 Eybens, France","(45.14840909999999, 5.7370885, 0.0)",45.14840909999999,5.7370885,0.0
954503439,95450343901685,2007-03-05,32,SCHNEIDER ELECTRIC INDUSTRIES SAS,NAFRev2,5,,AV,RAYMOND CHANAS,38320,EYBENS,,27.12Z,"Schneider Electric Industries Sas, 5  Av Raymond Chanas, 38320 Eybens",Schneider Electric Industries Sas Eybens,"5 Rue Raymond Chanas, 38320 Eybens, France","(45.1554738, 5.7427611, 0.0)",45.1554738,5.7427611,0.0
70501275,7050127500047,2010-03-01,32,TORNIER,NAFRev2,176,,RUE,LAVOISIER,38330,MONTBONNOT-SAINT-MARTIN,,32.50A,"Tornier, 176  Rue Lavoisier, 38330 Montbonnot-Saint-Martin",Tornier Montbonnot-Saint-Martin,"161 Rue Lavoisier, 38330 Montbonnot-Saint-Martin, France","(45.2189306, 5.8110037, 0.0)",45.2189306,5.8110037,0.0
55501902,5550190200039,1988-02-01,32,POMA,NAFRev2,109,,RUE,ARISTIDE BERGES,38340,VOREPPE,,28.22Z,"Poma, 109  Rue Aristide Berges, 38340 Voreppe",Poma Voreppe,"109 Rue Aristide Berges CS 30047, 38340 Voreppe, France","(45.3091692, 5.6148075, 0.0)",45.3091692,5.6148075,0.0
552124984,55212498400048,1987-12-21,32,RADIALL,NAFRev2,642,,RUE,EMILE ROMANET,38340,VOREPPE,,27.33Z,"Radiall, 642  Rue Emile Romanet, 38340 Voreppe",Radiall Voreppe,"642 Rue Emile Romanet, 38340 Voreppe, France","(45.307918, 5.617705, 0.0)",45.307918,5.617705,0.0
712009661,71200966100075,1999-12-23,41,AIR LIQUIDE ADVANCED TECHNOLOGIES,NAFRev2,nan,,RUE,DE CLEMENCIERES,38360,SASSENAGE,,28.25Z,"Air Liquide Advanced Technologies,  Rue De Clemencieres, 38360 Sassenage",Air Liquide Advanced Technologies Sassenage,"2 Rue de Clémencière, 38360 Sassenage, France","(45.2198187, 5.6610435, 0.0)",45.2198187,5.6610435,0.0
673620399,67362039900018,1990-06-07,32,BIOMERIEUX SA,NAFRev2,nan,,,,38390,LA BALME-LES-GROTTES,,20.59Z,"Biomerieux Sa,   , 38390 La Balme-Les-Grottes",Biomerieux Sa La Balme-Les-Grottes,"TE, 3 Route de Port Michaud, 38390 La Balme-les-Grottes, France","(45.8553858, 5.3318471, 0.0)",45.8553858,5.3318471,0.0
411195043,41119504300012,1997-03-01,32,TRIXELL,NAFRev2,460,,RUE,DE POMMARIN,38430,MOIRANS,,26.60Z,"Trixell, 460  Rue De Pommarin, 38430 Moirans",Trixell Moirans,"460 Rue du Pommarin, 38430 Moirans, France","(45.3167839, 5.5981817, 0.0)",45.3167839,5.5981817,0.0
421106709,42110670900262,2005-03-31,32,SCHNEIDER ELECTRIC FRANCE,NAFRev2,nan,,RUE,DE LA GRANGE BATIE,38430,MOIRANS,,27.12Z,"Schneider Electric France,  Rue De La Grange Batie, 38430 Moirans",Schneider Electric Moirans,"70 Rue de la Grange Bâtie, 38430 Moirans, France","(45.3183546, 5.593001800000001, 0.0)",45.3183546,5.593001800000001,0.0
333748564,33374856400015,1985-03-01,32,BRIOCHE PASQUIER CHARANCIEU,NAFRev2,nan,,,LES EPLAGNES,38490,CHARANCIEU,PITCH,10.71A,"Brioche Pasquier Charancieu,   Les Eplagnes, 38490 Charancieu",Brioche Pasquier Charancieu,"2012 Route des Eplagnes, 38490 Charancieu, France","(45.5290582, 5.586789599999999, 0.0)",45.5290582,5.586789599999999,0.0
388818726,38881872600027,1992-12-31,32,AOSTE SNC OU A SNC,NAFRev2,nan,,HAM,RD 592,38490,AOSTE,JAMBON D'AOSTE,10.13A,"Aoste Snc Ou A Snc,  Ham Rd 592, 38490 Aoste",Aoste Snc Ou A,"1439 Rue Hameau De St Didier, 38490 Aoste, France","(45.5995916, 5.6066451, 0.0)",45.5995916,5.6066451,0.0
672039971,67203997101639,1985-12-04,32,DANONE PRODUITS FRAIS FRANCE,NAFRev2,nan,,,LES VERCHERES,38540,SAINT-JUST-CHALEYSSIN,,10.51A,"Danone Produits Frais France,   Les Vercheres, 38540 Saint-Just-Chaleyssin",Danone Produits Frais Saint-Just-Chaleyssin,"ZI les Verchères, 60 Route de Luzinay, 38540 Saint-Just-Chaleyssin, France","(45.5827937, 4.992649, 0.0)",45.5827937,4.992649,0.0
319632790,31963279000188,1983-10-01,32,ARKEMA FRANCE,NAFRev2,nan,,RTE,N 85,38560,JARRIE,,20.13B,"Arkema France,  Rte N 85, 38560 Jarrie",Arkema Jarrie,"N85, 38560 Jarrie, France","(45.0870094, 5.7360542, 0.0)",45.0870094,5.7360542,0.0
379041395,37904139500060,2017-10-15,32,FRAMATOME,NAFRev2,291,,RTE,DE L'ELECTRO CHIMIE,38560,JARRIE,,24.45Z,"Framatome, 291  Rte De L'Electro Chimie, 38560 Jarrie",Framatome Jarrie,"291 Rue de l'Électrochimie, 38560 Jarrie, France","(45.091857, 5.7327609, 0.0)",45.091857,5.7327609,0.0
781596754,78159675400049,1994-09-29,32,AVERY DENNISON MATERIALS FRANCE,NAFRev2,nan,,,ZONE INDUSTRIELLE,38560,CHAMP-SUR-DRAC,,17.12Z,"Avery Dennison Materials France,   Zone Industrielle, 38560 Champ-Sur-Drac",Avery Dennison Materials Champ-Sur-Drac,"Zoning Industriel, 38560 Champ-sur-Drac, France","(45.0670447, 5.724669500000001, 0.0)",45.0670447,5.724669500000001,0.0
408720282,40872028200016,1996-09-01,32,FRESENIUS VIAL,NAFRev2,nan,,,LE GRAND CHEMIN,38590,BREZINS,,32.50A,"Fresenius Vial,   Le Grand Chemin, 38590 Brezins",Fresenius Vial Brezins,"56 Le Grand Chemin, 38590 Brézins, France","(45.3471374, 5.308541099999999, 0.0)",45.3471374,5.308541099999999,0.0
410287379,41028737900102,1997-03-31,32,HEXCEL REINFORCEMENTS,NAFRev2,nan,,,Z I LES NAPPES,38630,LES AVENIERES VEYRINS-THUELLIN,,13.20Z,"Hexcel Reinforcements,   Z I Les Nappes, 38630 Les Avenieres Veyrins-Thuellin",Hexcel Reinforcements Les Avenieres Veyrins-Thuellin,"435 Route des Nappes, 38630 Les Avenières, France","(45.6467401, 5.5746542, 0.0)",45.6467401,5.5746542,0.0
713680734,71368073400017,1971-01-01,32,CONDAT SA,NAFRev2,104,,AV,FREDERIC MISTRAL,38670,CHASSE-SUR-RHONE,,20.59Z,"Condat Sa, 104  Av Frederic Mistral, 38670 Chasse-Sur-Rhone",Condat Sa Chasse-Sur-Rhone,"104 Avenue Frédéric Mistral, 38670 Chasse-sur-Rhône, France","(45.5808355, 4.7943144, 0.0)",45.5808355,4.7943144,0.0
956512495,95651249500154,1900-01-01,41,CALOR S A,NAFRev2,nan,,RUE,DU CHAMP DE COURSES,38780,PONT-EVEQUE,,27.51Z,"Calor S A,  Rue Du Champ De Courses, 38780 Pont-Eveque",Calor S A Pont-Eveque,"ZI de Monplaisir, Chemin des Courses, 38780 Pont-Évêque, France","(45.5250484, 4.9223349, 0.0)",45.5250484,4.9223349,0.0
56501711,5650171100115,1988-06-03,42,BECTON DICKINSON FRANCE,NAFRev2,11,,RUE,ARISTIDE BERGES,38800,LE PONT-DE-CLAIX,,32.50A,"Becton Dickinson France, 11  Rue Aristide Berges, 38800 Le Pont-De-Claix",Becton Dickinson Le Pont-De-Claix,"11 Rue Aristide Berges, 38800 Le Pont-de-Claix, France","(45.13849159999999, 5.6938773, 0.0)",45.13849159999999,5.6938773,0.0
444187884,44418788400044,2008-09-01,32,VENCOREX FRANCE,NAFRev2,nan,,RUE,LAVOISIER,38800,LE PONT-DE-CLAIX,,20.13B,"Vencorex France,  Rue Lavoisier, 38800 Le Pont-De-Claix",Vencorex Le Pont-De-Claix,"Rue Lavoisier, 38800 Le Pont-de-Claix, France","(45.1319483, 5.706682799999999, 0.0)",45.1319483,5.706682799999999,0.0
57504599,5750459900077,1972-01-01,32,TEISSEIRE-FRANCE SAS,NAFRev2,482,,AV,AMBROISE CROIZAT,38920,CROLLES,,11.07B,"Teisseire-France Sas, 482  Av Ambroise Croizat, 38920 Crolles",Teisseire-Sas Crolles,"482 Avenue Ambroise Croizat, 38926 Crolles, France","(45.2714917, 5.8864983, 0.0)",45.2714917,5.8864983,0.0
341459386,34145938600171,1991-11-19,42,STMICROELECTRONICS SA,NAFRev2,850,,RUE,JEAN MONNET,38920,CROLLES,,26.11Z,"Stmicroelectronics Sa, 850  Rue Jean Monnet, 38920 Crolles",Stmicroelectronics Sa Crolles,"850 Rue Jean Monnet, 38920 Crolles, France","(45.2680142, 5.8834583, 0.0)",45.2680142,5.8834583,0.0
399395581,39939558100032,2003-02-17,51,STMICROELECTRONICS (CROLLES 2) SAS,NAFRev2,850,,RUE,JEAN MONNET,38920,CROLLES,,26.11Z,"Stmicroelectronics (Crolles 2) Sas, 850  Rue Jean Monnet, 38920 Crolles",Stmicroelectronics (Crolles 2) Sas Crolles,"850 Rue Jean Monnet, 38920 Crolles, France","(45.2680142, 5.8834583, 0.0)",45.2680142,5.8834583,0.0
399378660,39937866000019,1994-12-09,32,SOCIETE FROMAGERE DE LONS LE SAUNIER,NAFRev2,39,,AV,CAMILLE PROST,39000,LONS-LE-SAUNIER,,10.51C,"Societe Fromagere De Lons Le Saunier, 39  Av Camille Prost, 39000 Lons-Le-Saunier",Societe Fromagere De Lons Le Saunier Lons-Le-Saunier,"39 Avenue Camille Prost, 39008 Lons-le-Saunier, France","(46.6729455, 5.5662168, 0.0)",46.6729455,5.5662168,0.0
493371595,49337159500023,2007-03-01,32,FROMAGERIES BEL PRODUCTION FRANCE,NAFRev2,74,,RUE,MONT ROLAND,39100,DOLE,,10.51C,"Fromageries Bel Production France, 74  Rue Mont Roland, 39100 Dole",Fromageries Bel Production Dole,"74 Rue du Mont Roland, 39100 Dole, France","(47.0941818, 5.484767100000001, 0.0)",47.0941818,5.484767100000001,0.0
642044374,64204437400501,2009-06-25,32,C & K COMPONENTS SAS,NAFRev2,2,,RUE,BERTHOLLET,39100,DOLE,,26.11Z,"C & K Components Sas, 2  Rue Berthollet, 39100 Dole",C & K Components Sas Dole,"2 Rue Claude Berthollet, 39100 Dole, France","(47.112027, 5.499452199999999, 0.0)",47.112027,5.499452199999999,0.0
752816496,75281649600018,2012-07-17,32,MBF ALUMINIUM,NAFRev2,10,,RUE,DU PLAN D ACIER,39200,SAINT-CLAUDE,,24.53Z,"Mbf Aluminium, 10  Rue Du Plan D Acier, 39200 Saint-Claude",Mbf Aluminium Saint-Claude,"10 Rue du Plan d'Acier, 39200 Saint-Claude, France","(46.3824424, 5.8343272, 0.0)",46.3824424,5.8343272,0.0
305690158,30569015800012,1987-04-06,41,V 33 SA,NAFRev2,nan,,,LA MUYRE,39210,DOMBLANS,,20.30Z,"V 33 Sa,   La Muyre, 39210 Domblans",V 33 Sa Domblans,"Route de la Muyre, 39210 Domblans, France","(46.762446, 5.58792, 0.0)",46.762446,5.58792,0.0
625780135,62578013500038,1999-05-17,41,INOVYN FRANCE,NAFRev2,2,,AV,DE LA REPUBLIQUE,39500,TAVAUX,,20.13B,"Inovyn France, 2  Av De La Republique, 39500 Tavaux",Inovyn Tavaux,"2 Avenue de la République, 39500 Tavaux, France","(47.0518451, 5.4104454, 0.0)",47.0518451,5.4104454,0.0
775572878,77557287800079,1985-01-01,32,SKF AEROSPACE FRANCE,NAFRev2,800,,RUE,DE LA LIEME,39570,PERRIGNY,,30.30Z,"Skf Aerospace France, 800  Rue De La Lieme, 39570 Perrigny",Skf Aerospace Perrigny,"800 Rue de la Lieme - ZI de Perrigny, 39000 Lons-le-Saunier, France","(46.6781924, 5.5810942, 0.0)",46.6781924,5.5810942,0.0
379591597,37959159700024,2006-10-01,32,AQUALANDE,NAFRev2,1280,,AV,DU MARSAN,40120,SARBAZAN,,10.20Z,"Aqualande, 1280  Av Du Marsan, 40120 Sarbazan",Aqualande Sarbazan,"1280 Avenue du Marsan, 40120 Sarbazan, France","(44.0224003, -0.340029, 0.0)",44.0224003,-0.340029,0.0
334612967,33461296700011,1986-01-11,32,GASCOGNE PAPIER,NAFRev2,68,,RUE,DE LA PAPETERIE,40200,MIMIZAN,,17.12Z,"Gascogne Papier, 68  Rue De La Papeterie, 40200 Mimizan",Gascogne Papier Mimizan,"68 Rue de la Papeterie, 40200 Mimizan, France","(44.2087065, -1.2495184, 0.0)",44.2087065,-1.2495184,0.0
338481955,33848195500023,1987-01-01,42,SAFRAN HELICOPTER ENGINES,NAFRev2,nan,,AV,DU 1 MAI,40220,TARNOS,,30.30Z,"Safran Helicopter Engines,  Av Du 1 Mai, 40220 Tarnos",Safran Helicopter Engines Tarnos,"Avenue du 1er Mai, 40220 Tarnos, France","(43.5462247, -1.496735, 0.0)",43.5462247,-1.496735,0.0
347902587,34790258700018,1988-07-01,42,LABEYRIE,NAFRev2,39,,RTE,DE BAYONNE,40230,SAINT-GEOURS-DE-MAREMNE,,10.20Z,"Labeyrie, 39  Rte De Bayonne, 40230 Saint-Geours-De-Maremne",Labeyrie Saint-Geours-De-Maremne,"39 Route de Bayonne, 40230 Saint-Geours-de-Maremne, France","(43.6835794, -1.2392949, 0.0)",43.6835794,-1.2392949,0.0
387626393,38762639300186,2011-08-01,32,ATLANTIQUE AUTOMATISMES INCENDIE,NAFRev2,92,,RUE,DE LESTE,40260,CASTETS,,33.20A,"Atlantique Automatismes Incendie, 92  Rue De Leste, 40260 Castets",Atlantique Automatismes Incendie Castets,"92 Rue de Leste, 40260 Castets, France","(43.8801825, -1.1272466, 0.0)",43.8801825,-1.1272466,0.0
645680026,64568002600079,1992-02-01,41,DELPEYRAT,NAFRev2,nan,,,TEOULERE,40280,SAINT-PIERRE-DU-MONT,DELPEYRAT,10.13A,"Delpeyrat,   Teoulere, 40280 Saint-Pierre-Du-Mont",Delpeyrat Saint-Pierre-Du-Mont,"150 Rue de la Téoulère, 40280 Saint-Pierre-du-Mont, France","(43.8652868, -0.5113113, 0.0)",43.8652868,-0.5113113,0.0
303283592,30328359200028,1900-01-01,32,SOCIETE D'ETUDE DE REALISATION ET D'EXPLOITATION POUR LE TRAITEMENT DU MAIS,NAFRev2,519,,RTE,ROYALE,40300,LABATUT,,10.39A,"Societe D'Etude De Realisation Et D'Exploitation Pour Le Traitement Du Mais, 519  Rte Royale, 40300 Labatut",Societe D'Etude De Realisation Et D'Exploitation Pour Le Traitement Du Mais Labatut,"519 Route Royale, 40300 Labatut, France","(43.5448297, -0.9958195999999999, 0.0)",43.5448297,-0.9958195999999999,0.0
380160846,38016084600032,1994-01-01,32,EGGER PANNEAUX ET DECORS,NAFRev2,nan,,AV,D ALBRET,40370,RION-DES-LANDES,,16.21Z,"Egger Panneaux Et Decors,  Av D Albret, 40370 Rion-Des-Landes",Egger Panneaux Et Decors Rion-Des-Landes,"Avenue d'Albret, 40370 Rion-des-Landes, France","(43.9097461, -0.9081473, 0.0)",43.9097461,-0.9081473,0.0
397659749,39765974900014,1994-07-01,32,RAYONIER A.M. TARTAS,NAFRev2,1154,,AV,DU GENERAL LECLERC,40400,TARTAS,,17.11Z,"Rayonier A.M. Tartas, 1154  Av Du General Leclerc, 40400 Tartas",Rayonier A.M. Tartas,"1154 Avenue du Général Leclerc, 40400 Tartas, France","(43.8333316, -0.8258662, 0.0)",43.8333316,-0.8258662,0.0
391760725,39176072500013,1993-07-07,32,LES FERMIERS LANDAIS,NAFRev2,26,,RUE,DE PAPIN,40500,SAINT-SEVER,,10.12Z,"Les Fermiers Landais, 26  Rue De Papin, 40500 Saint-Sever",Les Fermiers Landais Saint-Sever,"26bis Rue de Papin, 40500 Saint-Sever, France","(43.7695395, -0.5779677999999999, 0.0)",43.7695395,-0.5779677999999999,0.0
985520154,98552015400032,1994-07-01,32,LES DERIVES RESINIQUES ET TERPENIQUES,NAFRev2,448,,RTE,DE L OCEAN,40560,VIELLE-SAINT-GIRONS,,20.14Z,"Les Derives Resiniques Et Terpeniques, 448  Rte De L Ocean, 40560 Vielle-Saint-Girons",Les Derives Resiniques Et Terpeniques Vielle-Saint-Girons,"448 Route de l'Océan, 40560 Vielle-Saint-Girons, France","(43.9473762, -1.2979545, 0.0)",43.9473762,-1.2979545,0.0
632023347,63202334700024,1900-01-01,32,SOC POTEZ AERONAUTIQUE,NAFRev2,8,,RTE,DU HOUGA,40800,AIRE SUR L'ADOUR,,30.30Z,"Soc Potez Aeronautique, 8  Rte Du Houga, 40800 Aire Sur L'Adour",Soc Potez Aeronautique Aire Sur L'Adour,"8 Route du Houga, 40800 Aire-sur-l'Adour, France","(43.7087556, -0.2549059, 0.0)",43.7087556,-0.2549059,0.0
419222245,41922224500021,2000-07-01,32,PROCTER & GAMBLE BLOIS,NAFRev2,126,,AV,DE VENDOME,41000,BLOIS,,20.42Z,"Procter & Gamble Blois, 126  Av De Vendome, 41000 Blois",Procter & Gamble Blois,"126 Avenue de Vendôme, 41000 Blois, France","(47.607624, 1.3106064, 0.0)",47.607624,1.3106064,0.0
440156081,44015608100166,2011-10-24,42,DELPHI FRANCE SAS,NAFRev2,9,,BD,DE L'INDUSTRIE,41000,BLOIS,,29.32Z,"Delphi France Sas, 9  Bd De L'Industrie, 41000 Blois",Delphi Sas Blois,"9 Boulevard de l'Industrie, 41000 Blois, France","(47.6030559, 1.3235488, 0.0)",47.6030559,1.3235488,0.0
950344333,95034433300048,1985-01-01,32,VALEO VISION,NAFRev2,101,,AV,DE VENDOME,41000,BLOIS,,27.40Z,"Valeo Vision, 101  Av De Vendome, 41000 Blois",Valeo Vision Blois,"101 Avenue de Vendôme, 41000 Blois, France","(47.60327119999999, 1.3156857, 0.0)",47.60327119999999,1.3156857,0.0
973201940,97320194000044,2000-12-29,32,JTEKT HPI,NAFRev2,28,,RUE,ROBERT NAU,41000,BLOIS,,28.12Z,"Jtekt Hpi, 28  Rue Robert Nau, 41000 Blois",Jtekt Hpi Blois,"28 Rue Robert Nau, 41000 Blois, France","(47.6157112, 1.3378971, 0.0)",47.6157112,1.3378971,0.0
316016930,31601693000042,2010-07-13,32,HMY FRANCE,NAFRev2,nan,,,ZONE INDUSTRIELLE SUD,41100,VENDOME,,31.09B,"Hmy France,   Zone Industrielle Sud, 41100 Vendome",Hmy Vendome,"Rue Marc Seguin, Z.I. Sud, 41100 Vendôme, France","(47.7779312, 1.0738985, 0.0)",47.7779312,1.0738985,0.0
612039495,61203949500546,1994-01-01,41,THALES AVS FRANCE SAS,NAFRev2,20,,BD,DE L INDUSTRIE,41100,VENDOME,,33.13Z,"Thales Avs France Sas, 20  Bd De L Industrie, 41100 Vendome",Thales Avs Sas Vendome,"20 Boulevard de l'Industrie, 41100 Vendôme, France","(47.8011417, 1.0457446, 0.0)",47.8011417,1.0457446,0.0
775424914,77542491400015,1973-01-01,41,ROBERT BOSCH AUTOMOTIVE STEERING VENDOME,NAFRev2,2,,RTE,DE BLOIS,41100,VENDOME,,29.32Z,"Robert Bosch Automotive Steering Vendome, 2  Rte De Blois, 41100 Vendome",Robert Bosch Automotive Steering Vendome,"ZI Sud, 2 Route de Blois, 41100 Vendôme, France","(47.778226, 1.075033, 0.0)",47.778226,1.075033,0.0
